<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
Z001E0167/PHZ51	-0.018057093	0.0036176806	-0.0129230395	0.002234511	-0.0038954106
Z001E0170/PHZ51	-0.017782576	-0.009158739	-0.019115116	0.021575639	-0.010309794
Z001E0172/PHZ51	-0.0054051513	0.028238539	-0.006681513	0.012335691	0.016315103
Z001E0174/PHZ51	-0.01359424	0.015038249	0.004841272	-0.0107457675	-0.0047540693
Z001E0178/PHZ51	-0.029158505	-0.010749222	0.0052665467	0.013265664	0.005369585
Z001E0181/PHZ51	-0.015715152	0.02253947	0.005332583	-0.0065446226	0.006311967
Z001E0183/PHZ51	-0.011046844	0.0075137704	-0.020061785	0.0029229696	0.02445488
Z001E0184/PHZ51	-0.015026734	0.021006059	0.015479659	-0.0020902674	0.011330399
Z001E0194/PHZ51	-0.018792007	0.0013972803	-0.030352797	-0.006222729	-0.0052566575
Z002E0004/PHZ51	-0.016336448	-0.0059916424	-0.0014804068	-0.014613727	0.016851636
Z002E0007/PHZ51	-0.0130204065	-0.006227532	-0.009271881	-0.021240411	-0.008755828
Z002E0008/PHZ51	0.005287398	0.0109801665	-0.026737908	-0.008806514	-0.01315454
Z002E0009/PHZ51	-0.0068302476	0.012861196	0.011272466	-0.011449651	0.008881163
Z002E0010/PHZ51	-0.008013004	-0.010289193	0.010240737	4.1065767E-4	-0.017775044
Z002E0013/PHZ51	-0.008857726	-0.015970891	0.002036682	-0.006659948	0.022962408
Z002E0014/PHZ51	7.2329585E-4	-0.008703342	-0.018004483	0.01711657	0.010573255
Z002E0017/PHZ51	-0.0038362597	0.0010784197	0.0064340387	-0.009785429	-0.01471781
Z002E0019/PHZ51	-0.008392421	0.012958344	0.0011963833	-0.0154166315	-0.01975171
Z002E0020/PHZ51	-0.0041916096	-0.016612874	-0.025645824	0.016659621	0.0065044207
Z002E0022/PHZ51	-0.008137817	0.008529361	7.5983023E-4	-0.01940965	-0.017675867
Z002E0023/PHZ51	-0.007492653	0.003458752	0.001123838	-0.009806159	-0.020250611
Z002E0028/PHZ51	0.02213838	-0.006397222	-0.009761479	0.011834341	0.0014509482
Z002E0030/PHZ51	-0.003489943	-0.031171342	3.4246058E-4	-0.006104693	-4.0519278E-4
Z002E0032/PHZ51	-2.3854683E-4	-0.024120504	-0.029335616	0.007302693	-0.004612525
Z002E0033/PHZ51	-0.0022199717	-0.006798875	0.011249519	0.0022141212	-0.015450819
Z002E0034/PHZ51	0.008011997	-0.018968374	-0.022235848	0.013200104	-0.014752603
Z002E0036/PHZ51	0.0016156664	0.006212792	-0.010702213	0.02365185	-0.0034034527
Z002E0040/PHZ51	0.005814202	-0.012615557	-0.021083226	-0.008037565	0.0010543282
Z002E0043/PHZ51	-0.005054741	0.005473095	0.004063105	-0.015577703	-0.013677873
Z002E0047/PHZ51	-0.013628391	-0.0077078287	-0.004217496	-0.017302642	0.011853177
Z002E0048/PHZ51	0.0043495614	-0.018645186	-0.018783288	0.023703262	0.011953804
Z002E0050/PHZ51	0.014753193	-0.03348751	-0.025065215	0.00860316	0.003517991
Z002E0055/PHZ51	0.018585451	-0.0024991815	-0.0064276815	0.02253345	0.014497923
Z002E0059/PHZ51	-0.0084410785	-6.30808E-4	0.01680447	0.016137993	0.0013047261
Z002E0062/PHZ51	0.016584802	-0.0065561193	-0.024814762	-0.003302302	-3.95693E-4
Z002E0066/PHZ51	-0.0036639466	0.01663003	0.012456598	-0.006727404	0.0035709047
Z002E0070/PHZ51	0.0064732046	0.005028257	-0.022743108	0.004182784	-0.023167033
Z002E0071/PHZ51	-0.005062172	-0.013613428	-0.031563487	0.010611948	-0.019148763
Z002E0072/PHZ51	0.009280201	0.015167802	-0.013499725	0.0013562753	0.010573209
Z002E0073/PHZ51	0.008305334	-0.02714708	-0.024835752	0.014996045	-0.006508608
Z002E0075/PHZ51	-0.010253952	-0.034678683	-0.0028982467	-0.007177872	-0.0029410538
Z002E0079/PHZ51	-0.0015129799	-0.03322194	0.0024408838	-0.0033698515	0.005219356
Z002E0080/PHZ51	-0.0067706043	0.0106703015	5.896353E-4	-0.016826868	-0.012399252
Z002E0083/PHZ51	0.0103405835	-0.02222754	-0.030261736	-0.0050359913	0.0041653654
Z002E0091/PHZ51	-0.0025086761	-0.011059395	0.0015947265	-0.0126703475	0.030262388
Z002E0097/PHZ51	-0.00288986	-0.031202028	0.0048582843	0.0067553218	0.015822599
Z002E0100/PHZ51	0.0065769562	-0.007378319	-0.024529714	-0.0055546565	0.029303072
Z002E0101/PHZ51	0.0067176586	-0.0199643	-0.016635899	0.024851654	0.01856399
Z002E0102/PHZ51	0.0033373316	-0.016033974	-0.030328482	-0.014016749	0.0101494
Z002E0103/PHZ51	-7.5584924E-4	-0.003150814	-0.029690461	-0.0056411657	0.020761978
Z002E0105/PHZ51	-0.006113625	-0.0044608363	0.014140554	0.007847954	-0.011938446
Z002E0107/PHZ51	0.0037606903	-0.019222869	-0.026274925	0.016564291	-0.013981704
Z002E0108/PHZ51	0.0054422617	-0.020464124	-0.025879411	0.020677004	-5.4092397E-4
Z002E0109/PHZ51	-0.018893044	-0.013762922	0.0016015692	0.0064830286	0.0028924192
Z002E0111/PHZ51	0.0018048511	0.0041069756	-0.016027177	-0.013014162	-0.013012562
Z002E0113/PHZ51	0.003996701	-0.009578186	-0.018602008	0.005888777	0.025209878
Z002E0117/PHZ51	0.014640317	0.00957775	-0.009252233	-0.0065834573	0.0018472885
Z002E0119/PHZ51	0.010858279	0.014056024	8.043567E-4	-0.0018141508	0.022769496
Z002E0124/PHZ51	-0.0050434484	0.009297137	0.0023117692	-0.014708986	-0.019335004
Z002E0133/PHZ51	0.0017874504	-0.00791654	-0.028091231	-0.0065126005	0.031642582
Z002E0137/PHZ51	3.7414092E-4	-0.022598216	-0.027793571	0.01101139	0.009112535
Z002E0138/PHZ51	-0.00393131	-0.01573493	-0.026603568	0.016262434	-0.013345828
Z002E0161/PHZ51	0.0067364066	0.011011721	-0.021963397	-0.013405306	-0.0073424885
Z002E0162/PHZ51	0.003098105	-0.015502585	-0.032282244	-0.013607327	0.005215022
Z002E0164/PHZ51	-0.0044260384	-0.025782123	0.010460166	0.010943586	0.021572681
Z002E0166/PHZ51	0.008287773	-0.0051250462	-0.012090498	0.0150258895	0.0071701095
Z002E0168/PHZ51	-0.009852287	-0.0024151402	0.008745478	0.009414507	-0.006805741
Z002E0169/PHZ51	5.4764544E-4	-0.018354077	-0.027308572	0.017806524	-0.011833056
Z002E0170/PHZ51	-1.0612665E-4	0.014768668	0.013891761	0.0044491296	0.009972223
Z002E0173/PHZ51	0.011725302	-0.010345572	-0.029439334	-0.007923741	0.0015261444
Z002E0175/PHZ51	0.015273513	-0.0068524885	-0.026099054	-0.008186495	0.0067421985
Z002E0184/PHZ51	-0.0053854217	-0.0016006094	0.004820123	-0.012849266	-0.015654435
Z002E0187/PHZ51	0.017733302	0.0147910435	-0.017792618	-4.1047533E-4	0.0042695696
Z002E0193/PHZ51	0.0033298803	-0.012008034	-0.010419268	0.022278799	0.006017033
Z002E0198/PHZ51	-0.018842436	-0.016947681	0.0012132551	0.010193281	0.005315407
Z002E0199/PHZ51	-0.005418959	-0.011454928	-0.017479923	-0.013142102	-9.6808944E-5
Z003E0005/PHZ51	0.0109800575	-0.0070830663	0.009708627	-0.009763169	0.016027447
Z003E0008/PHZ51	0.019741729	-0.007729717	9.1529946E-4	0.002814118	-0.02611095
Z003E0016/PHZ51	0.020181019	-0.020744378	-0.011732793	-0.0095927315	-0.005298777
