line	SAM_width	SAM_height	SAM_arc.length	SAM_midpoint.width	SAM_volume	SAM_height.width.ratio
Z5-E192	119	93	118	96	970805	0.78
Z5-E193	132	102	134	110	1246163.5	0.78
Z5-E195	129	115	144	114	1610504.667	0.89
Z5-E196	137	83	117	114	967305.5	0.60
Z5-E197	135	159	187	114	3434836.75	1.17
Z5-E198	141	90	128	120	1103422.6	0.64
Z5-E199	139	113	147	119	1618952.25	0.82
Z5-E20	136	75	113	111	770233.5	0.55
Z5-E21	129	126	157	111	1912184.5	0.98
Z5-E210	143	125	154	115	2032856.75	0.88
Z5-E211	146	127	165	131	2222676	0.86
Z5-E212	114	84	115	101	739034	0.74
Z5-E215	135	102	137	118	1316584.333	0.77
Z5-E22	125	119	148	108	1662859.4	0.95
Z5-E233	134	138	169	118	2375028.5	1.03
Z5-E25	126	109	139	105	1402356.25	0.86
Z5-E27	150	110	146	123	1740868.2	0.73
Z5-E28	136	111	142	116	1568468.25	0.82
Z5-E29	135	126	158	115	1979710	0.94
Z5-E32	136	124	156	118	2036412.667	0.91
Z5-E33	135	125	157	114	1947991.4	0.93
Z5-E35	126	89	122	107	941295.8	0.71
Z5-E37	127	110	140	107	1477868.25	0.86
Z5-E39	144	153	182	124	3204900.2	1.06
Z5-E42	116	89	116	100	852877	0.76
Z5-E43	124	84	116	107	830970	0.69
Z5-E44	125	145	173	112	2615617	1.17
Z5-E45	143	104	138	122	1432624.667	0.73
Z5-E46	130	111	140	104	1498114.667	0.85
Z5-E47	169	145	188	150	3298307.25	0.86
Z5-E48	156	121	159	132	2099858.75	0.78
Z5-E49	129	96	125	106	1190921.5	0.74
Z5-E5	139	126	158	119	2067880	0.90
Z5-E51	136	114	147	113	1676591.6	0.84
Z5-E55	143	92	128	119	1166202.5	0.65
Z5-E56	113	118	144	101	1529645.4	1.04
Z5-E57	144	149	180	119	2991563	1.04
Z5-E58	119	115	145	105	1455139	0.97
Z5-E60	125	107	138	108	1411647.2	0.86
Z5-E61	134	124	156	116	1888765.4	0.92
Z5-E62	133	125	155	116	1907767.5	0.95
Z5-E63	127	114	143	109	1518212.2	0.90
Z5-E66	118	83	111	97	753226	0.70
Z5-E68	130	125	157	113	1851684.5	0.97
Z5-E69	125	95	127	110	1089756.2	0.76
Z5-E7	136	102	134	114	1421443.25	0.74
Z5-E74	103	79	104	90	587280	0.77
Z5-E75	135	96	128	108	1218407	0.71
Z5-E79	143	120	154	117	1919917.8	0.84
Z5-E8	117	92	122	98	971962.6667	0.78
Z5-E80	135	123	153	110	1925998.667	0.91
Z5-E81	129	133	165	114	2130157.5	1.04
Z5-E82	138	104	138	121	1367028.333	0.76
Z5-E83	136	136	167	116	2463033.5	1.00
Z5-E84	122	102	129	96	1221668.333	0.84
Z5-E85	143	107	141	119	1545611	0.75
